cnpj;email;password;corporate_name;social_reason;address;number;complement;neighborhood;zipCode;phone_number;phone_number2;bank_number;agency_number;account_number;status;city;state;site;confirmed_at
53129587000108;hospital@hc.com.br;123456;HOSPITAL DE CLÍNICAS UNIVERSIDADE FEDERAL DO PARANÁ;Hospital de Clinicas;Rua XV de novembro;124;Próximo ao terminal;Centro;805600;4133349857;41987564367;237;4563;234565;true;Curitiba;PR;;Sun, 18 Jul 2021 20:04:26 -0300
17593461000118;insitucional@casadeauxilio.com.br;123456;Casa de Auxilio LLC;Casa de Auxilio;Avenida Candido de Abreu;873;Proximo ao Muller;Centro Civico;8053000;4132435678;419845906745;403;7836;78497;true;Curitiba;PR;;Sun, 18 Jul 2021 20:04:26 -0300
33463187000119;institutoore@insitucional.com.br;123456;Instituto ORE LLC;Instituto ORE;Rua Goberto Mariano;93;;Hugo Lange;8053000;4132435678;419845906745;403;7836;78497;false;Curitiba;PR;;Sun, 18 Jul 2021 20:04:26 -0300
68341322000138;insitucional@AABC.com.br;123456;AABC ONG;AABC;Rua Floriano Peixoto;83;;Merces;8053000;4132435678;419845906745;403;7836;78497;false;Maringá;PR;;Sun, 18 Jul 2021 20:04:26 -0300
81240789000150;juridico@valentinaelevimarketingltda.com.br;123456;Valentina e Levi Marketing Ltda;Valentina e Levi Marketing Ltda;Rua T;654;;Jardins de Monet Residence;87078674;4437137093;44988541610;404;7837;78498;true;Foz do Iguaçu;PR;www.carloseduardoemarcosesportesltda.com.br;Sun, 18 Jul 2021 20:04:26 -0300
53499811000145;diretoria@carloseduardoemarcosesportesltda.com.br;123456;Carlos Eduardo e Marcos Esportes Ltda;Carlos Eduardo e Marcos Esportes Ltda;Rua Manoel Afonso;494;;Vila Solidária;85603148;4629118901;46992448978;405;7838;78499;true;Francisco Beltrão;PR;www.luiseguilhermetelecomme.com.br;Sun, 18 Jul 2021 20:04:26 -0300
3664304000141;contato@luiseguilhermetelecomme.com.br;123456;Luís e Guilherme Telecom ME;Luís e Guilherme Telecom ME;Rua Borges de Medeiros;631;;Vila Bela;85027230;4225878378;42994812676;406;7839;78500;true;Guarapuava;PR;www.mateusejoaquimcasanoturnaltda.com.br;Sun, 18 Jul 2021 20:04:26 -0300
45558726000182;pesquisa@mateusejoaquimcasanoturnaltda.com.br;123456;Mateus e Joaquim Casa Noturna Ltda;Mateus e Joaquim Casa Noturna Ltda;Rua Borges de Medeiros;631;;Vila Bela;84045971;4225878378;42994812676;407;7840;78501;true;Ponta Grossa;PR;www.sebastiaoedeboraalimentosltda.com.br;Sun, 18 Jul 2021 20:04:26 -0300
60488633000112;sac@sebastiaoedeboraalimentosltda.com.br;123456;Sebastião e Débora Alimentos Ltda;Sebastião e Débora Alimentos Ltda;Rua Jorge Becher 33;785;;Colônia Dona Luíza;84045971;4225878378;42994812676;408;7841;78502;true;Campo Mourão;PR;www.benicioeoliverassessoriajuridicame.com.br;Sun, 18 Jul 2021 20:04:26 -0300
84699153000169;posvenda@benicioeoliverassessoriajuridicame.com.br;123456;Benício e Oliver Assessoria Jurídica ME;Benício e Oliver Assessoria Jurídica ME;Rua Panambi;3245;;Jardim John Kennedy;87303044;4427616168;44985394219;409;7842;78503;true;Campo Mourão;PR;www.benicioeoliverassessoriajuridicame.com.br;Sun, 18 Jul 2021 20:04:26 -0300
27223672000112;desenvolvimento@esterefranciscoadvocaciame.com.br;123456;Ester e Francisco Advocacia ME;Ester e Francisco Advocacia ME;Rua Luiz Ruths;801;;São Francisco;85303342;4239497670;42981822290;410;7843;78504;true;Laranjeiras do Sul;PR;www.esterefranciscoadvocaciame.com.br;Sun, 18 Jul 2021 20:04:26 -0300
67201454000100;rh@alessandraeelisaesportesme.com.br;123456;Alessandra e Elisa Esportes ME;Alessandra e Elisa Esportes ME;Rua Atobá;164;;Vila Nova;86707180;4339606650;4339606650;411;7844;78505;true;Arapongas;PR;www.alessandraeelisaesportesme.com.br;Sun, 18 Jul 2021 20:04:26 -0300
1259979000180;representantes@juliaeiagofinanceiraltda.com.br;123456;Julia e Iago Financeira Ltda;Julia e Iago Financeira Ltda;Travessa Luiz Costa;246;;Sítio Cercado;81900081;4136348759;41987062069;412;7845;78506;true;Curitiba;PR;www.juliaeiagofinanceiraltda.com.br;Sun, 18 Jul 2021 20:04:26 -0300
48012185000180;suporte@sophiaekevintelecomme.com.br;123456;Sophia e Kevin Telecom ME;Sophia e Kevin Telecom ME;Rua Guará;145;;Gralha Azul;83824478;4125582813;41986237446;413;7846;78507;false;Fazenda Rio Grande;PR;www.sophiaekevintelecomme.com.br;Sun, 18 Jul 2021 20:04:26 -0300
55673069000178;representantes@marianeeluizmarketingme.com.br;123456;Mariane e Luiz Marketing ME;Mariane e Luiz Marketing ME;Rua Pioneiro Francisco Castoldo;761;;Jardim Ouro Cola;87070210;4437639970;44994541847;414;7847;78508;false;Maringá;PR;www.marianeeluizmarketingme.com.br;Sun, 18 Jul 2021 20:04:26 -0300
